SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.45574346,-0.49736238,-0.26847523,-0.19396693,-0.6633616,-0.33640486
1,6,1,3,1,1,4,1,1,1,1,1,2,-0.2660251,-0.050596505,-0.31129983,-0.19396693,-0.4380067,-0.2725709
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.37068292,-1.0462462,-0.21077108,-0.19396693,1.3418664,-0.20648399
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.27644917,-0.5265389,-0.29044643,-0.19396693,0.03279843,-0.3334009
1,2,1,3,3,1,3,1,1,1,1,1,1,0.5887499,-0.16547915,0.06314498,-0.19396693,1.8873113,0.7179817
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.41821674,-0.9824224,-0.161991,-0.19396693,0.5021682,-0.7622148
1,2,1,2,1,1,2,1,1,2,2,2,1,-0.5224576,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.508381
1,5,1,7,7,1,2,1,1,1,1,1,2,-0.045868423,1.0799947,-0.14637846,-0.19396693,-0.5700618,-0.2725709
1,3,1,6,5,1,2,1,1,1,1,1,2,0.013340379,0.9705826,-0.3690223,-0.19396693,-0.45523128,-0.2725709
1,5,1,3,3,1,4,1,1,1,1,1,1,-0.42655602,-0.13812615,-0.39925787,-0.19396693,-0.78536904,-0.8283017
1,5,1,3,1,1,4,1,1,1,1,1,2,-0.49118534,-0.663304,-0.42857724,-0.19396693,-0.6619262,-0.2725709
1,3,1,4,3,1,3,1,1,2,1,2,2,-0.2831206,-0.31500894,-0.3845982,1.6623818,-0.3289177,-0.2725709
1,3,1,6,6,1,1,1,1,1,1,1,2,-0.34191245,1.2459363,-0.20270826,-0.19396693,-0.9748394,-0.2725709
1,2,1,3,3,1,4,1,1,1,1,1,1,0.14676867,-0.22383225,0.6706787,-0.19396693,0.8351767,0.0413419
1,2,1,5,5,1,3,1,1,2,1,2,1,0.7138389,-0.31500894,-0.053106256,-0.19396693,-0.3289177,3.6723666
1,3,1,5,5,1,1,1,1,2,1,2,2,-0.3640115,-0.31500894,-0.36718982,-0.19396693,-0.3289177,-0.2725709
1,6,1,1,0,1,3,1,1,1,1,1,2,2.6110222,5.201182,-0.39163485,-0.19396693,0.21939802,-0.2725709
1,2,1,2,1,1,4,1,1,1,1,1,1,-0.5162036,-0.5429507,-0.4249123,-0.19396693,-0.8571381,-0.48585138
1,2,1,3,1,1,4,1,1,1,2,1,1,-0.52875376,-0.63412744,-0.26847523,-0.19396693,-0.85139656,-0.37695816
1,5,1,4,2,1,4,1,1,1,1,1,2,-0.37068292,-0.116243735,-0.3069019,-0.19396693,-0.65474933,-0.2725709
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.51245046,-0.451774,0.20453757,-0.19396693,-0.89158726,1.4509456
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.47659162,-0.31500894,1.2490395,-0.19396693,-0.3289177,-0.42652336
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.5307969,-0.7708925,-0.26847523,-0.19396693,-0.7494845,-0.5459304
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3081384,-0.6888335,-0.3662736,-0.19396693,0.21509188,-0.747946
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.14927535,-0.5721273,-0.37543592,-0.19396693,0.61556333,-0.42577237
1,4,1,9,3,1,4,1,1,1,1,1,2,-0.32481694,0.2484631,-0.32082862,-0.19396693,-0.71934146,-0.2725709
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.37026596,-0.6614804,-0.08040991,-0.19396693,-0.12365815,0.37553138
1,6,1,3,4,1,3,1,1,2,1,2,2,-0.39319894,-0.31500894,-0.39192805,0.28266314,-0.3289177,-0.2725709
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.120087914,-0.051508274,-0.35744116,-0.19396693,-0.08777361,-0.8035191
1,5,1,4,3,1,4,1,1,1,1,1,2,-0.32857004,-0.51742125,-0.23800144,-0.19396693,-0.17533189,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.38069004,-0.31500894,-0.38155633,-0.19396693,-0.3289177,-0.63304496
1,5,1,4,2,1,2,1,1,2,1,2,2,-0.3640115,-0.31500894,-0.3845982,-0.19396693,-0.3289177,-0.2725709
1,2,1,5,5,1,3,1,1,2,1,2,1,-0.016264023,-0.31500894,-0.37279716,-0.19396693,-0.3289177,1.3510642
1,3,1,6,4,1,1,1,1,1,1,1,2,-0.09928144,0.9341119,-0.3845982,-0.19396693,-0.5944633,-0.2725709
1,2,1,4,4,1,3,1,1,2,1,2,1,0.5053572,-0.31500894,-0.30811134,-0.19396693,-0.3289177,6.1476216
1,5,1,4,5,1,2,1,1,2,1,2,2,-0.3911558,-0.31500894,-0.3845982,-0.19396693,-0.3289177,-0.2725709
1,2,1,2,3,1,3,1,1,1,1,1,1,0.2968755,-0.5930979,1.5448718,-0.19396693,2.4873009,-0.045021668
1,2,1,3,2,1,3,1,1,1,1,1,1,-0.026271144,-0.32868546,0.1830978,-0.19396693,0.5308758,0.25161842
1,5,1,5,4,1,2,1,1,1,1,1,2,-0.28729025,0.21746302,-0.31129983,2.239355,-0.6317832,-0.2725709
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.10132456,-0.3049795,-0.09078163,-0.19396693,0.26533023,0.33422706
