SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA-MONTH
1,5,1,7,7,2,2,1,1,1,1,1,2,-0.21144678,0.79006827,-0.5036248,0.10875324,-0.21309008,-0.26747382
1,5,1,3,3,1,1,1,1,1,1,1,2,-0.31669235,-0.26139715,-0.60436326,-0.60494477,-0.21309008,-0.26747382
1,2,1,5,8,1,3,1,1,1,1,1,1,3.7185779,1.1814326,-0.2178041,1.2453834,-0.21309008,2.1490319
1,2,1,3,1,1,3,1,1,2,1,1,1,-0.21358238,-0.26139715,0.07841965,0.13518651,-0.21309008,0.15657806
1,5,1,4,2,1,4,1,1,1,1,1,1,-0.45213342,-0.35358518,-0.62332577,0.7167182,-0.21309008,-0.78262806
1,6,1,5,5,1,4,1,1,1,1,1,2,-0.32979956,0.022994244,-0.43514898,-0.86927736,-0.21309008,-0.26747382
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.082510374,-0.3370609,-0.03897687,-0.6578113,-0.21309008,0.27979562
1,3,1,5,3,1,2,1,1,2,1,1,2,-0.32106143,-0.26139715,-0.5344389,-0.47277847,-0.21309008,-0.26747382
1,2,1,2,1,1,4,1,1,1,1,1,1,-0.51766944,-0.68754935,-0.64860916,0.7431515,-0.21309008,-0.77148604
1,2,1,4,3,1,2,1,1,1,2,1,1,-0.4302881,-0.30314267,-0.36930683,0.21448629,-0.21309008,-0.044633575
1,2,1,5,7,1,3,1,1,1,1,1,1,1.6869618,0.86138356,-0.36219588,1.4568495,-0.21309008,1.5571945
1,6,1,4,1,1,3,1,1,1,1,1,2,-0.4364048,-0.01962098,-0.60798454,-1.3715093,-0.21309008,-0.26747382
1,2,1,4,5,1,3,1,1,1,1,1,1,0.398087,0.50828594,-0.03680408,1.3246832,-0.21309008,1.0820205
1,3,1,6,4,1,2,1,1,2,1,1,2,-0.25727305,-0.26139715,-0.56571394,-1.1336099,3.027008,-0.26747382
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.34290677,-0.7292949,0.07841965,-0.07627957,-0.21309008,-0.073471725
1,2,1,2,2,1,3,1,1,1,1,1,1,0.88086885,-0.35358518,2.8419454,-1.2657763,-0.21309008,0.27193066
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.5390779,-0.6727645,1.0298384,0.055886727,-0.21309008,-0.4824491
1,2,1,2,1,1,3,1,1,1,1,1,1,0.1708955,-0.7171191,-0.0041463827,-0.84284407,-0.21309008,-0.27075088
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.27693385,-0.26139715,-0.035684764,0.5052521,6.8598075,0.23129508
1,2,1,4,3,1,2,1,1,1,2,1,1,-0.26841417,-0.25096077,-0.36930683,-0.34061217,-0.21309008,0.19786905
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.47026506,-0.43359745,-0.36930683,0.055886727,-0.21309008,-0.32449472
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3381008,-0.64232504,-0.073017254,1.5890157,-0.21309008,-0.7236409
1,5,1,4,3,1,2,1,1,2,1,1,2,-0.30970186,-0.26139715,-0.48123845,-0.6842445,-0.21309008,-0.26747382
1,5,1,4,3,1,4,1,1,1,1,1,2,-0.3970832,-0.42142165,-0.4445644,-0.86927736,-0.21309008,-0.26747382
1,3,1,8,3,1,2,1,1,2,1,1,2,0.028900832,-0.26139715,-0.49276084,-1.1336099,-0.21309008,-0.26747382
1,5,1,4,5,1,1,1,1,1,1,1,2,-0.14586185,-0.04571193,-0.5009911,0.3202193,-0.21309008,-0.26747382
1,5,1,5,5,1,2,1,1,2,1,1,2,-0.29091486,-0.26139715,-0.58000165,-0.73711103,-0.21309008,-0.26747382
1,2,1,3,3,1,2,1,1,1,2,1,2,-0.5412624,-0.40750647,-0.36930683,0.18805303,-0.21309008,-0.26747382
1,7,1,1,0,1,4,1,1,2,1,2,2,-0.34290677,-0.26139715,-0.0071751205,-0.023413053,-0.21309008,-0.26747382
1,2,1,3,3,1,3,1,1,1,1,1,1,0.0922523,0.29694924,-0.3734549,-0.6842445,2.4738207,1.2950295
1,2,1,5,5,1,3,1,1,2,1,1,1,0.7716422,-0.26139715,0.028708842,-0.81641084,-0.21309008,3.193104
1,5,1,5,4,1,2,1,1,1,1,1,2,-0.27737075,0.1612763,-0.43514898,-0.07627957,3.619709,-0.26747382
1,2,1,2,1,1,3,1,1,2,1,1,1,-0.41892853,-0.26139715,-0.36930683,-1.0278769,-0.21309008,-0.48965865
1,5,1,5,2,1,1,1,1,1,1,1,2,-0.28654578,0.016906356,-0.56683326,-0.73711103,-0.21309008,-0.26747382
1,6,1,6,6,1,3,1,1,1,1,1,2,0.4439622,1.4362541,-0.42198056,-1.1336099,-0.21309008,-0.26747382
1,3,1,7,8,1,2,1,1,2,1,1,2,-0.08950088,-0.26139715,-0.4483174,1.8269151,-0.21309008,-0.26747382
1,2,1,2,1,1,2,1,1,2,2,1,1,-0.5237861,-0.26139715,-0.36930683,0.13518651,-0.21309008,-0.4555772
