SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,NEXT OPEN HOUSE START TIME,SOURCE,FAVORITE,INTERESTED,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,$-SQUARE FEET,HOA-MONTH
1,2,1,2,1,1,17,3,1,1,-0.39113387,0.023817642,0.30032992,-0.0053134165,-0.015896793,-0.09909276
1,3,1,10,8,1,17,2,1,1,-0.26401308,0.99014163,-0.047461137,0.33577013,-1.0849345,-0.024021009
1,2,1,2,1,1,2,3,1,1,-0.33445582,-0.78602934,-0.19766054,1.5951555,-0.071931764,-0.8708929
1,3,1,7,7,1,17,1,1,1,-0.33728972,0.94290733,-0.28814265,-0.32015976,-1.1707311,-0.024021009
1,2,1,3,3,1,17,3,1,1,0.100345805,-0.24772167,0.21558987,0.8342768,0.38565043,1.2928464
1,3,1,6,3,1,17,2,1,1,-0.10167137,0.023817642,-0.44374907,0.09963536,-0.015896793,-0.024021009
1,2,1,1,1,1,17,3,1,1,-0.43404725,0.023817642,-0.1721244,-0.7137177,-0.015896793,-0.5097341
1,2,1,2,1,1,17,3,1,1,-0.41542447,0.023817642,-0.35815307,-1.0023268,-0.015896793,-0.65175563
1,2,1,6,8,1,17,3,1,1,2.8132002,1.3948903,1.3490595,0.67685366,2.1964116,1.0267972
1,2,1,2,1,1,17,2,1,1,-0.5271612,0.023817642,-0.047461137,-0.057787806,-0.015896793,-0.68003136
1,2,1,5,3,1,17,2,1,1,-0.27595598,-0.3617354,-0.047461137,-0.32015976,-0.5099463,0.02236454
1,5,1,3,2,1,17,4,1,1,-0.45024097,-0.6060505,-0.5079461,0.9129884,-0.860659,-0.9377265
1,2,1,3,1,1,17,2,1,1,-0.55108744,-0.65491354,-0.047461137,0.15210976,-1.2309393,-0.6196241
1,2,1,2,1,1,17,3,1,1,-0.5247321,-0.7819574,-0.26899055,-0.32015976,-1.0322523,-0.63890296
1,5,1,5,2,1,17,4,1,1,-0.44619253,-0.45783266,-0.49574867,0.72932804,-0.9569921,-0.93901175
1,2,1,5,3,1,17,3,1,1,0.40438306,0.3386346,-0.08770533,-0.63500607,0.26222366,0.94839615
1,2,1,3,5,1,17,3,1,1,0.2201794,-0.38535252,-0.445996,0.8342768,1.0133208,0.40987116
1,2,1,3,1,1,17,2,1,1,-0.4478119,-0.61419433,-0.047461137,0.3095329,-0.8441017,-0.47117624
1,2,1,3,1,1,17,2,1,1,-0.457933,0.023817642,-0.26542404,-0.66124326,-0.015896793,-0.024021009
1,5,1,5,3,1,17,1,1,1,-0.30854586,-0.2705244,-0.4651481,-0.7137177,-0.68304485,-0.024021009
1,5,1,6,5,1,17,2,1,1,-0.28425527,0.024282493,-0.39381808,-0.057787806,-0.81098723,-0.024021009
1,5,1,5,2,1,13,2,1,1,-0.35469797,0.023817642,-0.4651481,-0.84490365,-0.015896793,-0.024021009
1,2,1,2,1,1,17,3,1,1,-0.27575356,-0.73798066,0.5216313,-0.5038201,0.09213553,-0.6652509
1,2,1,2,1,1,17,3,1,1,-0.12191312,-0.21596071,-0.43872032,0.54566765,-0.24051468,-0.8708929
1,2,1,2,2,1,17,3,1,1,0.01775779,-0.76404095,0.04664474,1.5164438,1.5852985,-0.21476638
1,2,1,5,5,1,17,3,1,1,-0.081428796,-0.4513176,-0.29598895,0.88675123,0.21857272,0.7710299
1,2,1,2,2,1,17,3,1,1,0.22220361,-0.58080465,-0.2724144,1.385258,1.6409911,-0.2732458
1,2,1,2,3,1,17,3,1,1,-0.58545864,-0.69400394,0.26755378,-1.2646987,-1.3633974,-0.31116107
1,2,1,1,1,1,17,3,1,1,-0.5272421,-0.93994784,0.23923577,-0.057787806,-0.868185,-0.7507208
1,5,1,5,2,1,17,4,1,1,-0.36684328,0.33211955,-0.32666087,0.20458414,-1.0894501,-0.024021009
1,3,1,6,3,1,17,2,1,1,-0.32473958,0.023817642,-0.4476009,-0.45134574,-0.015896793,-0.024021009
1,2,1,3,3,1,17,3,1,1,-0.1020758,0.023817642,0.2693727,0.23082134,-0.015896793,0.5403253
1,3,1,8,6,1,17,2,1,1,-0.3202863,0.023817642,-0.4488135,-0.057787806,-0.015896793,-0.024021009
1,5,1,5,3,1,17,1,1,1,-0.39923072,-0.47900665,-0.47228107,0.88675123,-0.786904,-0.024021009
1,2,1,2,5,1,17,3,1,1,-0.10369518,-0.5384567,2.3585575,0.9129884,0.32092664,-0.5373673
1,2,1,3,3,1,17,3,1,1,0.013709358,-0.45946145,0.8972551,1.2278347,0.54369694,0.051282946
1,2,1,2,1,1,17,3,1,1,-0.38708544,-0.8316348,0.9857043,0.9392256,-0.23750427,-0.5611446
1,1,1,3,1,1,17,3,1,1,-0.040944476,0.023817642,-0.30019742,-0.897378,-0.015896793,0.39701855
1,2,1,6,7,1,17,3,1,1,0.8699528,0.9982854,-0.18917227,0.88675123,0.35253593,2.1539724
1,5,1,6,9,1,17,1,1,1,0.5460782,1.6416485,-0.42413333,1.3065463,-0.3744779,-0.024021009
1,2,1,3,2,1,8,2,1,1,-0.470888,0.023817642,-0.047461137,-0.057787806,-0.015896793,-0.52837044
1,2,1,3,1,1,17,3,1,1,-0.13324873,-0.76404095,0.06807941,0.860514,0.85226387,0.49534112
1,2,1,3,3,1,15,3,1,1,-0.42595038,-0.41059843,2.5449784,0.20458414,-0.92237234,-0.13636537
1,2,1,1,1,1,17,3,1,1,-0.41137603,-1.0474465,-0.24851884,1.805053,0.37812442,-0.83554816
1,5,1,3,3,1,17,1,1,1,-0.32069114,-0.371508,-0.48547712,-0.5825317,-0.6333731,-0.024021009
1,4,1,10,3,1,17,4,1,1,-0.32069114,0.05197154,-0.40309098,-1.1072756,-0.9028047,-0.024021009
1,2,1,2,1,1,10,3,1,1,-0.23729344,0.023817642,1.0764004,0.20458414,-0.015896793,-0.27517372
1,2,1,1,1,1,17,3,1,1,-0.4380957,0.023817642,0.16790576,0.33577013,-0.015896793,-0.48402888
1,3,1,4,4,1,17,3,1,1,0.22220361,0.023817642,-0.45487657,-1.5533079,-0.015896793,-0.024021009
1,2,1,3,5,1,17,4,1,1,-0.5190643,-0.4513176,-0.49546334,0.25705853,-1.1963196,-0.6613951
1,2,1,6,8,1,17,3,1,1,1.5359199,0.6798614,-0.35430124,1.4639695,1.6199182,1.3551817
1,2,1,2,1,1,17,2,1,1,-0.46218383,0.023817642,-0.047461137,-0.0053134165,-0.015896793,-0.62540776
1,2,1,1,1,1,17,3,1,1,-0.4380957,0.023817642,-0.44738692,1.6738671,-0.015896793,-0.9010965
1,2,1,3,3,1,17,3,1,1,-0.16239744,-0.5873197,0.44163468,1.385258,0.2125519,-0.39727366
1,5,1,6,7,1,17,2,1,1,0.12099281,1.2996074,-0.10849803,-0.7137177,-0.7041177,-0.024021009
1,5,1,6,8,1,17,2,1,1,-0.31259426,0.023817642,-0.39381808,-0.5825317,-0.015896793,-0.024021009
1,2,1,3,1,1,17,2,1,1,-0.44619253,-0.5734752,-0.047461137,0.23082134,-0.87270063,-0.39534575
1,5,1,5,6,1,10,2,1,1,-0.3851017,0.023817642,-0.4651481,-0.7137177,-0.015896793,-0.024021009
1,2,1,2,1,1,5,2,1,1,-0.5150159,-0.81779027,-0.047461137,-0.0053134165,-0.94796085,-0.67938876
1,6,1,11,14,1,17,3,1,1,-0.020702315,4.720019,-0.45088208,-0.5825317,-1.2474966,-0.024021009
1,2,1,2,1,1,17,3,1,1,-0.36481905,-0.76078343,-0.16912854,0.23082134,-0.2781448,0.13803816
1,5,1,5,1,1,17,2,1,1,-0.42554554,-0.6712012,-0.41792762,-0.7137177,-0.6935813,-0.024021009
