SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET
1,5,1,4,3,1,1,1,1,1,1,1,1,-0.47077665,-0.33484283,-0.40241188,0.8410697,-0.17241736,-0.67540205
1,2,1,2,2,1,3,1,1,1,1,1,1,0.028791623,-0.63404137,0.12585533,1.4653916,-0.17241736,1.6576031
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.2670692,-0.3314234,-0.122847795,1.5434319,-0.17241736,-0.123237744
1,2,1,1,1,1,3,1,1,2,1,1,2,-0.47853693,-0.28526136,0.32009792,1.673499,-0.17241736,-0.25572756
1,2,1,3,3,1,3,1,1,2,1,1,2,-0.019710151,-0.28526136,0.4326497,-0.121426634,-0.17241736,-0.25572756
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.37988433,-0.85031915,0.1593304,0.5809356,-0.17241736,0.7471982
1,3,1,6,6,1,1,1,1,1,1,1,1,-0.39656892,1.1577303,-0.21495873,-0.35554737,-0.17241736,-1.0528871
1,2,1,3,1,1,2,1,1,2,2,1,2,-0.53630835,-0.28526136,-0.2777154,0.16472094,-0.17241736,-0.25572756
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.5027878,-0.28526136,-0.37812248,-0.8758157,-0.17241736,-0.25572756
1,2,1,2,1,1,3,1,1,2,1,1,2,0.4653076,-0.28526136,-0.35648352,-1.3700706,-0.17241736,-0.25572756
1,6,1,3,4,1,3,1,1,2,1,1,2,-0.4562261,-0.28526136,-0.40241188,-0.6156815,0.32964084,-0.25572756
1,6,1,1,0,1,3,1,1,1,1,1,1,3.0383267,4.8660827,-0.40212142,-1.4220974,-0.17241736,0.17875025
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.5755405,-0.5143619,-0.2777154,0.16472094,-0.17241736,-0.8545224
1,2,1,3,1,1,2,1,1,2,2,1,2,-0.5736974,-0.28526136,-0.2777154,0.034653857,-0.17241736,-0.25572756
1,2,1,3,3,1,2,1,1,1,2,1,1,-0.62598234,-0.3656175,-0.2777154,0.16472094,-0.17241736,-1.088415
1,2,1,2,3,1,3,1,1,1,1,1,1,0.831496,-0.37929517,1.5163054,1.6474856,-0.17241736,3.0979674
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.42955014,-0.7332043,0.16818932,0.24276118,-0.17241736,0.05588258
1,2,1,1,1,1,3,1,1,2,1,1,2,-0.5124882,-0.28526136,-0.09685197,-0.7457486,-0.17241736,-0.25572756
1,5,1,5,4,1,2,1,1,2,1,1,2,-0.1385395,-0.28526136,-0.37826774,-0.095413215,-0.17241736,-0.25572756
1,2,1,2,2,1,3,1,1,1,1,1,1,0.27372557,-0.44169945,-0.19894733,1.3353246,-0.17241736,1.7123755
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.6235572,-0.62634766,0.48529488,0.034653857,-0.17241736,-0.94630307
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.17249075,-0.54684633,-0.38607374,-0.5896681,-0.17241736,0.58732224
1,2,1,1,1,1,2,1,1,2,2,1,2,-0.6385928,-0.28526136,-0.2777154,0.008640442,-0.17241736,-0.25572756
1,5,1,3,3,1,4,1,1,1,1,1,1,-0.51442826,0.08659967,-0.4231069,0.86708313,-0.17241736,-0.9877524
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.53145236,-0.5571046,-0.2777154,-0.095413215,-0.17241736,-0.6635594
1,2,1,4,4,1,3,1,1,1,1,1,1,1.1710083,0.42170203,-0.2862294,-1.3180437,-0.17241736,1.4977272
1,3,1,5,5,1,2,1,1,1,1,1,1,-0.2913201,0.44136363,-0.35158205,-0.22548029,-0.17241736,-0.7405367
1,2,1,2,1,1,1,1,1,1,2,2,1,-0.6550839,-0.5622337,-0.2777154,0.008640442,-0.17241736,-1.1017381
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.27676955,-0.28526136,1.1741481,0.16472094,-0.17241736,-0.25572756
1,2,1,2,1,1,2,1,1,2,2,1,2,-0.6236057,-0.28526136,-0.2777154,-0.017372973,-0.17241736,-0.25572756
1,2,1,3,3,1,3,1,1,1,1,1,1,0.031216713,-0.1989212,-0.09837686,1.4393783,-0.17241736,0.43336755
1,2,1,4,3,1,3,1,1,1,1,1,1,-0.121563874,-0.18866298,0.45806462,-0.66770834,-0.17241736,0.052921914
1,5,1,4,3,1,2,1,1,2,1,1,2,-0.45428604,-0.28526136,-0.39151978,-0.8758157,1.4394536,-0.25572756
1,3,1,9,7,1,2,1,1,1,2,1,1,-0.30878073,1.2073119,-0.2777154,0.294788,-0.17241736,-0.96850806
1,2,1,4,3,1,2,1,1,1,2,1,1,-0.32308874,-0.211744,-0.2777154,-0.35554737,-0.17241736,-0.40302074
1,2,1,3,2,1,3,1,1,1,1,1,1,-0.029410506,-0.31860062,0.16724533,-1.2660168,-0.17241736,0.49998257
1,5,1,4,3,1,4,1,1,1,1,1,1,-0.47810042,-0.5092328,-0.2862294,0.16472094,-0.17241736,-0.53180975
1,6,1,5,5,1,4,1,1,1,1,1,1,-0.39123374,0.05753467,-0.32253644,-0.8758157,-0.17241736,-0.7390564
1,3,1,6,4,1,2,1,1,2,1,1,2,-0.3107208,-0.28526136,-0.39453328,-1.1359499,1.9943601,-0.25572756
1,2,1,4,3,1,3,1,1,1,1,1,1,0.49198356,0.5234295,-0.01091324,-0.66770834,-0.17241736,0.35639024
1,2,1,2,1,1,3,1,1,1,1,1,1,0.16459659,-0.6699452,-0.08487065,-0.84980226,-0.17241736,2.4096124
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.47805193,-0.28526136,0.40723476,0.2687746,7.437728,-0.25572756
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.61876136,-0.7477368,-0.2777154,-0.22548029,-0.17241736,-0.8160337
1,2,1,2,1,1,3,1,1,1,1,1,1,0.15247114,-0.7691081,1.5163054,1.6474856,-0.17241736,3.0802035
1,3,1,5,5,1,1,1,1,2,1,2,2,-0.4222749,-0.28526136,-0.37790465,0.008640442,-0.17241736,-0.25572756
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.5993068,-0.59386325,-0.2777154,0.1126941,-0.17241736,-0.8782077
1,2,1,3,1,1,4,1,1,1,1,1,1,-0.5512896,-0.43400577,-0.43145752,-0.121426634,-0.17241736,-0.8337977
1,5,1,3,2,1,1,1,1,1,1,1,1,-0.49260244,-0.43400577,-0.38984966,0.86708313,-0.17241736,-0.6546774
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.5949412,-0.43400577,0.18848494,0.21674776,-0.17241736,-0.9670277
1,5,1,7,7,1,2,1,1,1,1,1,1,-0.05220634,1.0021472,-0.15915482,-0.35554737,-0.17241736,-0.6354331
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.47853693,-0.30577782,-0.2777154,-0.095413215,-0.17241736,-0.7183317
1,2,1,3,3,1,3,1,1,2,1,1,2,-0.109438434,-0.28526136,-0.38607374,-0.5896681,-0.17241736,-0.25572756
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.48532718,-0.9315302,-0.17462161,1.7515392,-0.17241736,0.4703759
1,2,1,3,1,1,2,1,1,2,2,1,2,-0.59057605,-0.28526136,-0.2777154,0.034653857,-0.17241736,-0.25572756
1,3,1,6,3,1,2,1,1,2,1,1,2,-0.38104838,-0.28526136,-0.39046687,-0.14744005,-0.17241736,-0.25572756
1,2,1,3,1,1,3,1,1,1,1,1,1,0.22522381,-0.34082678,0.3103676,-1.4220974,-0.17241736,1.2445902
