SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,4,1,2,1,1,1,2,1,1,1,-0.4283724,-0.2716912,-0.37876132,0.21445963,-0.21463843,-0.6750638,-0.059617057
1,2,1,2,1,3,1,1,1,1,1,1,1,0.084154055,-0.66914797,2.4259531,1.639341,-0.21463843,2.31618,-0.21904773
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.34643373,-0.31151652,0.17519885,-0.37075952,-0.21463843,-0.39894897,-0.100462936
1,5,1,3,1,4,1,1,1,1,1,1,1,-0.42181733,-0.15699424,-0.5855171,0.8505674,-0.21463843,-0.722521,-0.75333816
1,6,1,7,1,3,1,1,1,1,1,1,2,1.6205045,3.392239,-0.58205414,-2.6098588,-0.21463843,0.09000436,-0.27636373
1,5,1,4,1,2,1,1,1,1,1,1,2,-0.15838446,0.417287,-0.44926947,-0.06542778,-0.21463843,-0.46653956,-0.27636373
1,3,1,5,1,2,1,1,2,1,1,2,2,-0.3628215,-0.2732842,-0.43553117,0.18901531,-0.21463843,-0.35868222,-0.27636373
1,3,1,9,1,2,1,1,1,1,1,1,2,0.12840094,1.0983001,-0.4034562,-0.19264933,-0.21463843,-0.35868222,-0.27636373
1,3,1,9,1,4,1,1,1,1,1,1,2,-0.023185626,2.0580904,-0.55571294,1.6902297,-0.21463843,-0.75415915,-0.27636373
1,3,1,0,1,3,1,1,2,1,1,2,2,0.22754675,-0.2732842,-0.5464595,-1.5157535,-0.21463843,-0.35868222,-0.27636373
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.48163256,-0.2716912,3.219482,0.036349457,-0.21463843,-0.83037835,-0.10836858
1,5,1,3,1,1,1,1,1,1,1,1,2,-0.32185215,-0.23345888,-0.595168,-0.574314,-0.21463843,-0.39894897,-0.27636373
1,2,1,3,1,2,1,1,1,1,1,1,1,-0.375522,-0.29319686,-0.101838015,1.4357865,-0.21463843,-0.5039301,-0.68284607
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.10225646,-0.30275494,-0.107685305,-0.6252026,-0.21463843,0.33016673,0.26649114
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.4365663,-0.2732842,-0.09638811,-0.7015355,-0.21463843,-0.35868222,-0.3613495
1,6,1,6,1,3,1,1,1,1,1,1,2,0.04318471,0.4451647,-0.53419715,-0.47253674,-0.21463843,-0.1429675,-0.27636373
1,6,1,9,1,3,1,1,1,1,1,1,2,9.589042,5.3835053,-0.5334592,-2.864302,-0.21463843,3.04961,-0.27636373
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.55500865,-0.5106432,-0.37876132,0.1381267,-0.21463843,-0.96987385,-0.47400504
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.5283376,-0.6348982,-0.250575,-0.3198709,-0.21463843,-0.7800449,-0.49376917
1,6,1,3,1,3,1,1,2,1,1,2,2,-0.38904187,-0.2732842,-0.57416314,-0.574314,0.4110473,-0.35868222,-0.27636373
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.28457004,-0.58312523,-0.44926947,-0.574314,-0.21463843,0.23812845,-0.7012926
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.4587307,-0.23186587,-0.37876132,0.74879014,-0.21463843,-0.7843592,0.0042869737
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.5672585,-0.8690711,-0.37876132,0.08723808,-0.21463843,-0.7613496,-0.63870615
1,6,1,5,1,4,1,1,1,1,1,1,2,-0.33414295,0.026998773,-0.44926947,-0.8287571,-0.21463843,-0.60747313,-0.27636373
1,2,1,2,1,3,1,1,2,1,1,2,1,0.38937566,-0.2732842,-0.5023493,-1.312199,-0.21463843,-0.35868222,0.53330696
1,3,1,7,1,2,1,1,1,1,1,1,2,0.0018056725,1.1556486,-0.52636296,-0.44709244,-0.21463843,-0.5283778,-0.27636373
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.34684342,-0.2732842,0.28794378,-0.3198709,-0.21463843,-0.35868222,-0.62421244
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.39109033,-0.2732842,0.7529456,0.46890274,-0.21463843,-0.35868222,-0.20126002
1,2,1,2,1,3,1,1,1,1,1,1,1,0.13536572,-0.6508283,-0.077654056,-0.8033128,-0.21463843,2.4513612,-0.2869046
1,5,1,5,1,2,1,1,2,1,1,2,2,-0.31365827,-0.2732842,-0.44926947,-0.574314,-0.21463843,-0.35868222,-0.27636373
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.46585938,-0.39116716,-0.37876132,0.061793767,-0.21463843,-0.7153305,-0.34092656
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.22926143,-0.33541173,-0.13703533,1.5375638,-0.21463843,-0.009224402,-0.6703288
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.31324857,-0.66994447,-0.003626174,0.87601167,-0.21463843,0.32872862,0.16437645
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.44066322,-0.2732842,-0.5345378,1.6138967,-0.21463843,-0.35868222,-0.7625614
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.44230202,-0.39116716,-0.37876132,-0.95597863,-0.21463843,-0.6362351,-0.21377729
1,3,1,5,1,2,1,1,2,1,1,2,2,-0.1002084,-0.2732842,-0.52874726,0.08723808,-0.21463843,-0.35868222,-0.27636373
1,2,1,2,1,2,1,1,2,2,1,2,1,-0.5230116,-0.2732842,-0.37876132,0.061793767,-0.21463843,-0.35868222,-0.5662377
1,5,1,4,1,2,1,1,1,1,1,1,2,-0.38740307,-0.31231302,-0.58676606,-0.8287571,-0.21463843,-0.52406347,-0.27636373
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.36650872,-0.614189,-0.09161944,0.21445963,-0.21463843,-0.05955783,0.30272537
