feature,importance
PROPERTY TYPE,173.0
BEDS,231.0
BATHS,149.0
STATUS,1.0
SOURCE,53.0
SQUARE FEET_na,116.0
LOT SIZE_na,14.0
YEAR BUILT_na,2.0
HOA-MONTH_na,3.0
PRICE,423.0
SQUARE FEET,118.0
LOT SIZE,437.0
YEAR BUILT,241.0
$-SQUARE FEET,135.0
HOA-MONTH,279.0
