SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,5,6,1,3,1,1,2,1,2,1,1.8059723,-0.30315122,1.7138132,-0.20307691,-0.2631465,1.1636275
1,2,1,3,3,1,3,1,1,2,1,2,1,-0.14275548,-0.30315122,0.21228391,-0.20307691,-0.2631465,0.62178224
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.39859733,-0.9432782,0.8594948,-0.20307691,1.3290125,-0.23695657
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.30177101,-0.55618966,1.7138132,-0.20307691,0.11544985,-0.62250024
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.39859733,-0.73994374,-0.616146,-0.20307691,0.13305898,-0.3583201
1,2,1,3,2,1,2,1,1,1,1,1,1,-0.48924407,-0.5644736,0.8594948,-0.20307691,-0.6857656,-0.7622522
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.31948316,-0.5961034,-0.5902576,-0.20307691,0.13452642,-0.6960539
1,6,1,5,9,1,3,1,1,1,1,1,2,0.091831826,3.4517581,-1.3927991,-0.20307691,-0.9587072,-0.2804758
1,5,1,4,2,1,2,1,1,2,1,2,2,-0.39229968,-0.30315122,-0.5902576,-0.20307691,-0.2631465,-0.2804758
1,2,1,3,3,1,3,1,1,1,1,1,1,0.5099927,-0.47560894,-1.1080264,-0.20307691,3.0708492,-0.4392291
1,2,1,2,1,1,1,1,1,1,1,1,2,-0.45763776,-0.60288125,1.5067058,-0.20307691,-0.4920652,-0.2804758
1,5,1,4,2,1,2,1,1,1,1,1,2,-0.46708423,-0.16307637,0.31583765,-0.20307691,-0.9044124,-0.2804758
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.45763776,-0.30164504,0.18639548,-0.20307691,-0.79729015,-0.023650987
1,2,1,2,4,1,3,1,1,1,1,1,1,-0.14432989,-0.41988024,0.88538325,-0.20307691,0.41480508,-0.40612996
1,5,1,4,3,1,1,1,1,1,1,1,2,-0.43165997,-0.36490464,0.8594948,-0.20307691,-0.66522163,-0.2804758
1,2,1,5,6,1,3,1,1,1,1,1,1,5.8404016,1.8552063,-1.2374685,-0.20307691,4.5500164,3.203515
1,5,1,7,7,1,2,1,1,1,1,1,2,-0.0919807,0.812929,-0.33137324,-0.20307691,-0.6256011,-0.2804758
1,6,1,4,3,1,3,1,1,2,1,2,2,-0.3395569,-0.30315122,-0.7196998,-0.07957228,-0.2631465,-0.2804758
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.18959421,-0.5516711,-0.56436914,-0.20307691,0.58649415,-0.4159371
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.3096431,-0.51401657,1.6361479,-0.20307691,-0.009281497,-0.3405446
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.5438368,-0.30315122,-1.1080264,-0.20307691,-0.2631465,-0.5005238
1,2,1,2,2,1,3,1,1,1,1,1,1,0.70388424,-0.42439878,1.5584826,-0.20307691,3.474392,-0.102721155
1,2,1,4,4,1,3,1,1,1,1,1,1,0.19220056,0.027455539,1.4290404,-0.20307691,0.5189925,0.10200316
1,5,1,4,3,1,2,1,1,2,1,2,2,-0.34900337,-0.30315122,-0.6679229,-0.20307691,-0.2631465,-0.2804758
1,5,1,7,7,2,2,1,1,1,1,1,2,-0.2604868,0.6449898,0.10873017,-0.20307691,-0.810497,-0.2804758
1,3,1,5,3,1,2,1,1,2,1,2,2,-0.35923705,-0.30315122,-0.46081543,-0.20307691,-0.2631465,-0.2804758
1,3,1,6,4,1,2,1,1,2,1,2,2,-0.30177101,-0.30315122,-1.1080264,1.8223991,-0.2631465,-0.2804758
1,2,1,4,3,1,3,1,1,1,1,1,1,-0.14826591,-0.23612615,-0.6420345,-0.20307691,0.056752745,-0.38774154
1,2,1,3,2,1,2,1,1,1,1,1,1,-0.48680374,-0.2639905,0.7559411,-0.20307691,-0.90881467,-0.03958761
1,2,1,3,1,1,3,1,1,2,1,2,1,-0.5438368,-0.30315122,0.08284173,-0.20307691,-0.2631465,-0.2884441
1,2,1,2,1,1,2,1,1,1,1,1,1,-0.54974085,-0.7158448,-0.020712012,-0.20307691,-0.8090296,-0.51400864
1,6,1,4,1,1,4,1,1,1,1,1,2,-0.3395569,0.3791488,0.31583765,-0.20307691,-0.85011756,-0.2804758
1,2,1,3,1,1,3,1,1,2,1,2,1,-0.3789172,-0.30315122,-1.1856916,-0.20307691,-0.2631465,-0.30438074
1,5,1,5,4,1,2,1,1,1,1,1,2,-0.31987676,0.10050532,-0.07248888,2.192913,-0.6887005,-0.2804758
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.3789172,-0.33929956,-0.38315013,-0.20307691,-0.51554406,-0.13704619
1,2,1,3,4,1,3,1,1,1,1,1,1,1.2155681,0.5960389,-2.4024482,-0.20307691,1.5065714,0.87922
1,5,1,5,5,1,2,1,1,2,1,2,2,-0.33207846,-0.30315122,-0.7196998,-0.20307691,-0.2631465,-0.2804758
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.39820373,-0.30315122,-1.7293488,-0.20307691,-0.2631465,-0.5182993
1,2,1,2,3,1,3,1,1,2,1,2,1,0.32996154,-0.30315122,-0.9268073,-0.20307691,-0.2631465,1.0483934
1,2,1,2,1,1,2,1,1,2,1,2,1,-0.4928652,-0.30315122,-0.020712012,-0.20307691,-0.2631465,-0.4901037
1,2,1,3,3,1,3,1,1,1,1,1,1,0.054045953,-0.15102692,0.8077179,-0.20307691,0.4779045,1.3395432
1,3,1,7,3,1,1,1,1,1,1,1,2,0.32956794,1.2798451,-1.0562495,-0.20307691,-0.29689732,-0.2804758
1,2,1,2,1,1,2,1,1,2,1,2,1,-0.50250846,-0.30315122,-0.04660045,-0.20307691,-0.2631465,-0.51400864
1,2,1,4,3,1,2,1,1,2,1,2,1,-0.40646937,-0.30315122,0.88538325,-0.20307691,-0.2631465,-0.51523453
1,5,1,5,4,1,2,1,1,2,1,2,2,-0.162042,-0.30315122,-0.07248888,-0.20307691,-0.2631465,-0.2804758
1,2,1,3,3,1,3,1,1,1,1,1,1,0.7629247,-0.30315122,1.6620363,-0.20307691,3.0018802,0.21478541
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.45763776,-0.30315122,-0.84914196,-0.20307691,-0.2631465,-0.13827209
1,5,1,4,3,1,2,1,1,2,1,2,2,-0.41827747,-0.30315122,-0.84914196,1.3036797,-0.2631465,-0.2804758
1,5,1,5,3,1,1,1,1,1,1,1,2,-0.28838852,0.37613645,0.44527984,-0.20307691,-0.75913703,-0.2804758
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.39820373,-0.7158448,0.2640608,-0.20307691,0.059687603,-0.046330027
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.18172215,-0.22633597,-1.0044726,-0.20307691,-0.053304326,0.17065322
1,3,1,7,7,1,2,1,1,1,1,1,2,-0.31948316,0.21497509,-0.84914196,-0.20307691,-0.7459302,-0.2804758
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.46157378,-0.30315122,0.2640608,-0.20307691,-0.2631465,-0.44781035
1,5,1,3,4,1,4,1,1,1,1,1,2,-0.45763776,-0.509498,0.988937,-0.20307691,-0.61532915,-0.2804758
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.24469861,-0.6322518,1.3772635,2.7363334,0.5982336,-0.75121915
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.162042,-0.12165639,0.52294517,-0.20307691,-0.13254543,-0.7242495
1,3,1,10,7,1,1,1,1,1,1,1,2,-0.15220194,1.2030299,-0.5902576,-0.20307691,-0.8222364,-0.2804758
1,2,1,2,2,1,3,1,1,2,1,2,1,0.044599485,-0.30315122,-0.6679229,-0.20307691,-0.2631465,5.3923492
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.55564487,-0.6217085,0.056953296,-0.20307691,-0.93376094,-0.5084921
1,3,1,6,5,1,2,1,1,1,1,1,2,-0.0360891,0.72255814,-0.5902576,-0.20307691,-0.5082069,-0.2804758
1,3,1,7,5,1,2,1,1,2,1,2,2,-0.24076258,-0.30315122,0.9112717,-0.20307691,-0.2631465,-0.2804758
1,2,1,2,1,1,3,1,1,1,1,1,1,0.23156084,-0.6164369,1.6620363,-0.20307691,2.8140495,-0.122335464
1,3,1,5,6,1,3,1,1,1,1,1,2,0.4067141,1.3551542,-1.1080264,-0.20307691,-0.24406992,-0.2804758
1,5,1,5,2,1,4,1,1,1,1,1,2,-0.35923705,0.26693833,-0.46081543,-0.20307691,-0.8457153,-0.2804758
1,2,1,3,3,1,3,1,1,2,1,2,1,-0.14275548,-0.30315122,0.23817235,-0.20307691,-0.2631465,0.96503264
1,2,1,3,2,1,3,1,1,1,1,1,1,-0.07348137,-0.35059592,-1.2374685,-0.20307691,0.4999159,0.13694113
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.4773179,-0.45226315,0.21228391,-0.20307691,-0.748865,-0.27066866
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3789172,-0.6706594,-0.07248888,-0.20307691,0.037676185,-0.12601314
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.4379576,-0.33929956,-0.07248888,-0.20307691,-0.7077771,-0.25657088
1,2,1,2,1,1,2,1,1,2,1,2,1,-0.55603844,-0.30315122,-0.07248888,-0.20307691,-0.2631465,-0.5422042
1,6,1,10,13,1,3,1,1,1,1,1,2,0.38900197,1.9011447,-0.84914196,-0.20307691,-0.4656515,-0.2804758
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.39820373,-0.625474,0.21228391,-0.20307691,-0.16923112,0.2380774
1,5,1,5,3,1,2,1,1,2,1,2,2,-0.30806866,-0.30315122,-0.20193106,-0.20307691,-0.2631465,-0.2804758
1,3,1,8,3,1,2,1,1,1,1,1,2,-0.28051648,1.053918,-1.3410223,-0.20307691,-0.9440329,-0.2804758
