SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,5,1,2,1,4,1,1,1,1,1,1,1,-0.47397128,0.3566164,-0.41576537,0.93671864,-0.16497011,-1.033279,-1.0139297
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.6178337,-0.8179752,-0.27320227,-0.59813935,-0.16497011,-1.0439852,-0.37431288
1,2,1,2,1,2,1,1,1,2,1,1,1,-0.46006462,-0.61905247,-0.27320227,0.16928966,-0.16497011,-0.5453746,-0.5805893
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.37806335,-0.70430505,-0.079859264,0.19487064,-0.16497011,-0.10641363,0.44439667
1,6,1,6,1,4,1,1,1,1,1,1,1,-0.24139455,1.12389,-0.30880657,1.2948523,-0.16497011,-0.868095,-1.0139297
1,5,1,2,1,4,1,1,1,1,1,1,1,-0.47924623,-0.52432734,-0.42641747,0.85997576,-0.16497011,-0.69832265,-0.8940016
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.06876029,-0.3339298,-0.09018305,-0.6493013,-0.16497011,0.3080756,0.40042302
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.06684213,-0.51769656,1.2051786,0.8088138,-0.16497011,0.65679723,-0.16164029
1,6,1,9,1,3,1,1,1,1,1,1,2,0.21896349,4.4241138,-0.39920354,-1.3911493,-0.16497011,-0.9292742,-0.26437873
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.45047385,-0.296987,-0.27320227,0.19487064,-0.16497011,-0.7610313,0.0046600993
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.45047385,-0.2988815,0.22474717,-0.060939033,-0.16497011,-0.28536287,-0.42148462
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.56987923,-0.6995688,0.5019937,0.04138483,-0.16497011,-0.90327305,-0.52941996
1,5,1,2,1,4,1,1,1,1,1,1,1,-0.5032232,-0.5015933,-0.41970518,0.8088138,-0.16497011,-0.7931504,-0.8364361
1,2,1,3,1,3,1,1,1,1,1,1,1,0.38920006,-0.6332612,1.5379109,1.6274048,-0.16497011,2.6757116,-0.0033351115
1,3,1,9,1,2,1,1,1,1,1,1,2,0.053042777,1.4004874,-0.35922167,-0.4702345,-0.16497011,-0.60502434,-0.26437873
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.3301094,-0.2988815,-0.3607538,-1.1865016,-0.16497011,-0.28536287,-0.74449116
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.39244953,-1.0159508,0.15988606,1.7553096,-0.16497011,0.75315446,-0.82844085
1,2,1,3,1,3,1,1,1,1,1,1,1,0.72842306,-0.515802,-0.3644018,-1.1097586,-0.16497011,3.2706797,-0.4390741
1,6,1,5,1,4,1,1,1,1,1,1,2,-0.3401797,0.05823225,-0.30968207,-0.853949,-0.16497011,-0.68914574,-0.26437873
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.63941246,-0.6266305,0.36679956,-1.2632445,-0.16497011,-1.2091691,-0.11446854
1,2,1,1,1,4,1,1,1,2,1,1,1,-0.56033635,-0.6758875,-0.27320227,-0.060939033,-0.16497011,-0.8818603,-0.35672343
1,5,1,5,1,2,1,1,1,1,1,1,2,-0.13445722,0.5223854,-0.30968207,-0.08652,-0.16497011,-0.53925663,-0.26437873
1,6,1,3,1,3,1,1,1,1,1,1,2,0.26691747,0.17663866,-0.27320227,-0.7260442,-0.16497011,0.39831498,-0.26437873
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.2728044,-0.24015191,-0.27320227,-0.34232968,-0.16497011,-0.34195367,0.3004829
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.43608764,-0.9524849,-0.28892505,1.6018238,-0.16497011,0.19489405,-0.64774907
1,3,1,7,1,1,1,1,1,1,1,1,2,0.019954544,0.8397146,-0.37096816,-0.67488223,-0.16497011,-0.45360574,-0.26437873
1,1,1,1,1,3,1,1,2,1,1,2,1,0.0055683544,-0.2988815,-0.21392258,-0.90511096,4.069763,-0.28536287,0.76660365
1,2,1,4,1,3,1,1,1,1,1,1,1,0.62896985,0.35756367,-0.33339396,1.3204331,-0.16497011,0.82656956,0.88333374
1,3,1,3,1,2,1,1,2,1,1,2,2,-0.06636307,-0.2988815,-0.3607538,0.066965796,-0.16497011,-0.28536287,-0.26437873
1,6,1,8,1,3,1,1,1,1,1,1,2,-0.042385608,0.66920936,-0.40770334,-1.3399874,-0.16497011,-0.46737108,-0.26437873
1,3,1,5,1,2,1,1,2,1,1,2,2,-0.325314,-0.2988815,-0.36593395,-0.08652,-0.16497011,-0.28536287,-0.26437873
1,6,1,8,1,3,1,1,1,1,1,1,2,2.7149673,0.51007116,-0.38851497,-2.363226,-0.16497011,3.894708,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.37806335,-0.8179752,0.18337907,0.24603257,-0.16497011,0.13218534,0.07341891
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.28215542,-0.6673623,-0.30968207,-0.59813935,-0.16497011,0.21018885,-0.7740734
1,2,1,4,1,3,1,1,1,1,1,1,1,-0.06876029,-0.44570544,2.5055745,0.85997576,-0.16497011,0.50231963,-0.39589995
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.41163114,-0.2988815,-0.13155116,0.2204516,-0.16497011,-0.28536287,-0.05450446
1,3,1,7,1,1,1,1,2,1,2,2,2,0.40358624,-0.2988815,-0.3607538,-0.035358068,-0.16497011,-0.28536287,-0.26437873
1,2,1,5,1,3,1,1,2,1,1,2,1,0.029065797,-0.2988815,-0.3708952,-0.853949,-0.16497011,-0.28536287,1.4829745
1,2,1,4,1,3,1,1,1,1,1,1,1,-0.042385608,-0.34434956,-0.20961796,0.8343948,-0.16497011,0.39831498,1.2319249
1,3,1,7,1,1,1,1,1,1,1,1,2,-0.07835108,1.5956211,-0.3644018,-0.59813935,-0.16497011,-0.78703254,-0.26437873
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.13829353,-0.5025405,0.5448575,1.3204331,-0.16497011,0.39219704,-0.22160436
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.35504544,-0.2988815,0.16404477,-0.34232968,-0.16497011,-0.28536287,-0.6805295
1,2,1,4,1,3,1,1,1,1,1,1,1,2.0675888,0.5072294,0.4113414,1.397176,-0.16497011,2.8944275,4.981679
1,6,1,3,1,2,1,1,2,1,1,2,2,-0.43608764,-0.2988815,-0.37534574,-0.21442483,2.688219,-0.28536287,-0.26437873
1,3,1,5,1,2,1,1,1,1,1,1,2,0.06311311,0.99127483,-0.3671378,-0.59813935,-0.16497011,-0.45972365,-0.26437873
1,2,1,3,1,3,1,1,1,1,1,1,1,0.14943025,-0.1548993,-0.38705575,0.7320709,-0.16497011,0.5849116,1.3478554
1,5,1,1,1,2,1,1,1,1,1,1,2,-0.41882423,-0.7677709,-0.3644018,-0.59813935,-0.16497011,-0.16759285,-0.26437873
1,3,1,3,1,2,1,1,2,1,1,2,2,-0.28743038,-0.2988815,-0.36341685,-0.7260442,-0.16497011,-0.28536287,-0.26437873
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.5459027,-0.66357327,-0.27320227,0.11812773,-0.16497011,-0.8329169,-0.2871651
1,5,1,4,1,4,1,1,1,1,1,1,2,-0.45047385,-0.55842835,-0.36319795,0.96229964,-0.16497011,-0.5713757,-0.26437873
