SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,3,1,5,3,1,1,1,1,1,1,1,2,-0.27329177,-0.42111784,0.31010425,-0.20961694,-0.7894178,-0.26232257
1,6,1,3,3,1,2,1,1,1,1,2,2,-0.42442688,-0.52825165,-0.20276588,3.1594532,-0.2537309,-0.26232257
1,5,1,4,3,1,4,1,1,1,1,1,2,-0.40403917,-0.42962903,-0.84385353,-0.20961694,-0.6002649,-0.26232257
1,3,1,8,3,1,2,1,1,1,1,1,2,-0.23827805,-0.510396,-1.3310802,-0.20961694,-0.9312825,-0.26232257
1,2,1,3,3,1,3,1,1,1,1,1,1,0.6518649,-0.510396,-1.1002886,-0.20961694,3.1118608,-0.39824376
1,2,1,2,1,1,3,1,1,1,1,1,1,0.33834013,2.5933309,1.6435666,-0.20961694,2.8532534,-0.052079976
1,2,1,1,1,1,2,1,1,2,1,1,1,-0.60038185,-0.36159903,0.28446072,-0.20961694,-0.91059387,-0.58505166
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.49534073,3.4252846,0.028025674,-0.20961694,-0.94310457,-0.07618422
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.12703195,-0.36159903,-0.9977146,-0.20961694,-0.03428398,0.26797086
1,3,1,6,5,1,3,1,1,1,1,1,2,0.13845174,-0.5401554,-1.3823671,-0.20961694,-0.41406754,-0.26232257
1,2,1,4,6,1,3,1,1,1,1,1,1,2.6629846,0.6287938,-0.07454835,-0.20961694,3.0202398,5.48721
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.43772325,4.483231,0.18188672,-0.20961694,-0.7835068,0.055719577
1,7,1,1,0,1,4,1,1,1,2,2,2,-0.34908092,-0.03424563,-0.048904847,-0.20961694,-0.2537309,-0.26232257
1,3,1,6,3,1,2,1,1,1,1,2,2,-0.3885272,-0.48063663,-0.5874185,-0.20961694,-0.2537309,-0.26232257
1,2,1,2,2,1,3,1,1,1,1,1,1,0.048036594,0.31393936,1.464062,-0.20961694,1.6784365,-0.025967041
1,3,1,7,7,1,2,1,1,1,1,1,2,-0.282156,-0.510396,-0.84385353,-0.20961694,-0.7317853,-0.26232257
1,2,1,4,5,1,3,1,1,1,1,1,1,0.40260583,-0.061029088,1.2845575,-0.20961694,0.26126742,1.1243412
1,2,1,3,2,1,2,1,1,2,1,1,1,-0.4705652,-0.36159903,0.74604386,-0.20961694,-0.8958163,0.038310952
1,2,1,3,3,1,3,1,1,1,1,1,1,0.04360448,1.7334627,1.1819835,-0.20961694,0.65582854,0.25123182
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.46165666,-0.36159903,0.28446072,-0.20961694,-0.7066634,-0.29312244
1,2,1,4,3,1,2,1,1,1,1,2,1,-0.38010573,6.792442,0.8742614,-0.20961694,-0.2537309,-0.4812695
1,2,1,3,3,1,3,1,1,1,1,1,1,0.16105554,0.16216642,1.6692101,-0.20961694,1.3415078,-0.0694886
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.4598838,-0.36159903,0.20753022,-0.20961694,-0.7347408,-0.21411408
1,5,1,5,5,1,2,1,1,1,1,2,2,-0.29633877,-0.5520592,-0.715636,-0.20961694,-0.2537309,-0.26232257
1,2,1,2,2,1,3,1,1,1,1,1,1,0.87019396,0.75783056,1.5409925,-0.20961694,3.518244,-0.030653978
1,2,1,5,6,1,3,1,1,1,1,1,1,0.98099685,-0.079598956,0.84861785,-0.20961694,0.46815342,2.44204
1,2,1,3,1,1,3,1,1,1,1,2,1,-0.34908092,0.0059295604,-1.1772192,-0.20961694,-0.2537309,-0.25094002
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.34908092,0.04312881,-0.07454835,-0.20961694,0.057336956,-0.05609735
1,5,1,4,2,1,2,1,1,1,1,1,2,-0.44836032,-0.510396,0.31010425,-0.20961694,-0.89138305,-0.26232257
1,3,1,6,6,1,1,1,1,1,1,1,2,-0.04370819,-0.47212544,-1.3823671,-0.20961694,-0.5441102,-0.26232257
1,2,1,2,1,1,2,1,1,2,1,1,1,-0.5924045,-0.36159903,-0.5874185,-0.20961694,-1.0568918,-0.3440092
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.40625522,0.34500816,1.7717841,-0.20961694,0.5656854,-0.72967714
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.0827108,-0.510396,-1.1002886,-0.20961694,0.47406444,-0.3674439
1,3,1,6,5,1,2,1,1,1,1,2,2,-0.4151199,-0.34808826,-0.5874185,-0.20961694,-0.2537309,-0.26232257
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.41511944,0.77521,0.28446072,10.003984,-0.2537309,0.22177106
1,5,1,5,3,1,1,1,1,1,1,1,2,-0.24714229,-0.42111784,0.43832177,-0.20961694,-0.7450851,-0.26232257
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.084926866,-0.062993206,-0.6387055,-0.20961694,0.24944536,0.30479681
1,5,1,5,6,1,2,1,1,1,1,1,2,0.16105554,0.05503257,-0.715636,-0.20961694,-0.56923205,-0.26232257
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.3247043,-0.22470579,1.464062,-0.20961694,0.37653247,-0.4953303
1,6,1,7,8,1,3,1,1,1,1,1,2,1.2026026,-0.27708232,-0.715636,-0.20961694,0.8257706,-0.26232257
1,2,1,2,1,1,3,1,1,1,1,1,1,0.16105554,2.5933309,1.6435666,-0.20961694,3.098561,-0.2529487
1,6,1,4,6,1,4,1,1,1,1,1,1,-0.24448301,-0.4196894,1.3102009,-0.20961694,-0.8869498,-0.8796592
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.54586685,-0.21280202,-0.33098343,-0.20961694,-0.89138305,-0.46787825
1,2,1,1,1,1,3,1,1,1,1,2,1,-0.48824936,-0.35505196,-1.1002886,-0.20961694,-0.2537309,-0.33932227
1,3,1,7,5,1,2,1,1,1,1,2,2,-0.19351369,-0.42349857,0.8999049,-0.20961694,-0.2537309,-0.26232257
1,5,1,5,3,1,2,1,1,1,1,2,2,-0.26930285,-0.42111784,-0.20276588,-0.20961694,-0.2537309,-0.26232257
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.26221147,-0.5520592,1.6948535,-0.20961694,0.13565807,-0.5984429
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.3712415,0.79723203,-0.61306196,-0.20961694,0.15339117,-0.3098615
1,2,1,4,3,1,2,1,1,2,1,1,1,-0.43772325,-0.36159903,0.20753022,-0.20961694,-0.7835068,-0.026636602
1,2,1,2,1,1,1,1,1,2,2,1,2,-0.5635953,-0.36159903,-0.048904847,-0.20961694,-0.90911615,-0.26232257
1,2,1,3,4,1,3,1,1,1,1,1,1,1.4463689,-0.03519793,-2.382464,-0.20961694,1.5365719,1.041985
1,2,1,3,3,1,3,1,1,1,1,2,1,0.0037154423,0.8168732,-0.10019186,-0.20961694,-0.2537309,1.5448264
1,2,1,2,1,1,3,1,1,1,1,2,1,0.44692698,-0.4767679,-1.3310802,-0.20961694,-0.2537309,0.5759696
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.42176762,-0.36159903,-0.43355745,-0.20961694,-0.6076537,-0.2656704
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.282156,-0.42111784,-0.5874185,-0.20961694,0.15486892,-0.6787904
1,3,1,7,7,1,2,1,1,1,1,2,2,-0.19572975,-0.510396,-1.3823671,-0.20961694,-0.2537309,-0.26232257
1,2,1,3,3,1,2,1,1,2,1,1,2,-0.550299,-0.36159903,0.18188672,-0.20961694,-1.0628029,-0.26232257
1,2,1,4,5,1,3,1,1,1,1,2,2,-0.016229076,-0.5884847,-1.3823671,-0.20961694,-0.2537309,-0.26232257
1,2,1,4,3,1,3,1,1,1,1,2,1,0.40260583,0.8168732,-1.2028626,-0.20961694,-0.2537309,1.196654
