SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,90-27 186 St,Queens,NY,11423,799000,3,2.0,Hollis,,2500,1925,6,,,Active,,,https://www.redfin.com/NY/Queens/90-27-186th-St-11423/home/20765210,REBNY,PRCH-5000297,N,Y,40.7112733,-73.7737905
MLS Listing,,Townhouse,26 Lester Ct,Brooklyn,NY,11229,595000,2,2.5,Gerristen Beach,,1800,1930,20,,,Active,,,https://www.redfin.com/NY/Brooklyn/26-Lester-Ct-11229/home/40910250,REBNY,PRCH-4376702,N,Y,40.5877603,-73.9247421
MLS Listing,,Single Family Residential,9444 226th St,Floral Park,NY,11001,719000,3,2.0,Floral Park,,2400,1925,33,,,Active,,,https://www.redfin.com/NY/Floral-Park/9444-226th-St-11001/home/20477457,OneKey,3446280,N,Y,40.7212175,-73.72924
MLS Listing,,Single Family Residential,117-51 126th St,South Ozone Park,NY,11420,599000,3,2.0,South Ozone Park,,2100,1920,62,,,Active,,,https://www.redfin.com/NY/Queens/117-51-126th-St-11420/home/20719864,OneKey,3441422,N,Y,40.6737766,-73.8119125
MLS Listing,,Condo/Co-op,99-31 64th Ave Unit A-15,Queens,NY,11374,349000,1,1.0,Rego Park,968,38200,1947,65,361,814,Active,,,https://www.redfin.com/NY/Rego-Park/9931-64th-Ave-11374/unit-A15/home/40449539,REBNY,PRCH-3974324,N,Y,40.7317499,-73.8535799
MLS Listing,,Condo/Co-op,11 W 30th St Unit 12R,New York,NY,10001,1695000,2,2.0,Midtown South,1890,4937,1927,69,897,3388,Active,,,https://www.redfin.com/NY/New-York/11-W-30th-St-10001/unit-12R/home/182513684,REBNY,PRCH-3970387,N,Y,40.7464683,-73.9872992
MLS Listing,,Multi-Family (2-4 Unit),3086 Avenue W,Brooklyn,NY,11229,859000,3,2.0,Sheepshead Bay,,2000,1955,75,,,Active,,,https://www.redfin.com/NY/Brooklyn/3086-Avenue-W-11229/home/40865301,REBNY,PRCH-3971722,N,Y,40.5963917,-73.9346907
MLS Listing,,Condo/Co-op,211 Thompson St Unit 6M,New York,NY,10012,899000,1,1.5,Greenwich Village,,10000,1975,77,,1361,Active,,,https://www.redfin.com/NY/New-York/211-Thompson-St-10012/unit-6M/home/45141781,REBNY,PRCH-3970271,N,Y,40.7289082,-73.9994851
MLS Listing,,Multi-Family (2-4 Unit),71-09 73rd St,Glendale,NY,11385,895000,5,2.5,Glendale,,2017,1910,83,,,Active,,,https://www.redfin.com/NY/Queens/71-09-73rd-St-11385/home/20877533,OneKey,3436955,N,Y,40.7051351,-73.8772463
MLS Listing,,Condo/Co-op,172-27 Highland Ave Unit 1H,Queens,NY,11432,500000,2,2.5,Jamaica,,25000,1991,93,,370,Active,,,https://www.redfin.com/NY/Queens/17227-Highland-Ave-11432/unit-1H/home/20760650,REBNY,PRCH-3960099,N,Y,40.7134503,-73.7904076
MLS Listing,,Townhouse,111-56 144th St,Jamaica,NY,11435,529000,2,2.0,Jamaica,,2200,1945,96,,,Active,,,https://www.redfin.com/NY/Jamaica/111-56-144th-St-11435/home/20714726,OneKey,3434077,N,Y,40.6848845,-73.8002608
MLS Listing,,Single Family Residential,80-38 256th St,Glen Oaks,NY,11004,849000,4,2.5,Glen Oaks,1734,4000,1950,98,490,,Active,,,https://www.redfin.com/NY/Queens/80-38-256th-St-11004/home/20794042,OneKey,3433472,N,Y,40.742948,-73.7145709
