Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,project_name,target,target_std
SGDRegressor,-0.15605605286374624,0.11201491591625279,52.57478836441818,0.03294873237609863,real-state-ny,DAYS ON MARKET,30.497
Ridge,-0.16211186091093155,0.10736335321334245,52.712310660697426,0.03355097770690918,real-state-ny,DAYS ON MARKET,30.497
Lars,-0.16211279623505614,0.1073626347759713,52.71233187340834,0.03880953788757324,real-state-ny,DAYS ON MARKET,30.497
TransformedTargetRegressor,-0.16211279623505637,0.10736263477597108,52.71233187340835,0.03449225425720215,real-state-ny,DAYS ON MARKET,30.497
LinearRegression,-0.16211279623505637,0.10736263477597108,52.71233187340835,0.034033775329589844,real-state-ny,DAYS ON MARKET,30.497
RidgeCV,-0.1633018213824815,0.10644932560476061,52.73929150445188,0.03575778007507324,real-state-ny,DAYS ON MARKET,30.497
ExtraTreesRegressor,-0.1826987266905551,0.0915502534116025,53.17716150486302,0.5091180801391602,real-state-ny,DAYS ON MARKET,30.497
BaggingRegressor,-0.19714141972982047,0.0804565906423117,53.5008664816348,0.08940792083740234,real-state-ny,DAYS ON MARKET,30.497
KernelRidge,-0.20002316166663237,0.07824307871983305,53.565221042079436,0.033950090408325195,real-state-ny,DAYS ON MARKET,30.497
GammaRegressor,-0.21060165893896787,0.07011756632224198,53.80079826683717,0.10226726531982422,real-state-ny,DAYS ON MARKET,30.497
TweedieRegressor,-0.2281440935019179,0.056642942672439855,54.18920119960184,0.03916573524475098,real-state-ny,DAYS ON MARKET,30.497
ElasticNet,-0.24564501791623217,0.043200203629560674,54.57393067358234,0.04033994674682617,real-state-ny,DAYS ON MARKET,30.497
LassoLars,-0.27176954920104035,0.02313353467166457,55.14324232579947,0.03304028511047363,real-state-ny,DAYS ON MARKET,30.497
Lasso,-0.27177084555384967,0.0231325389224053,55.14327043037192,0.03302407264709473,real-state-ny,DAYS ON MARKET,30.497
ElasticNetCV,-0.27964147135200457,0.017086985773097974,55.31364020418442,0.15641236305236816,real-state-ny,DAYS ON MARKET,30.497
LassoLarsCV,-0.28368594760894705,0.013980359082982563,55.40098428387902,0.0471038818359375,real-state-ny,DAYS ON MARKET,30.497
LarsCV,-0.28368594760894705,0.013980359082982563,55.40098428387902,0.05743575096130371,real-state-ny,DAYS ON MARKET,30.497
LassoCV,-0.2859092580062663,0.012272598922722922,55.44894005428803,0.16596102714538574,real-state-ny,DAYS ON MARKET,30.497
OrthogonalMatchingPursuitCV,-0.29182751683210606,0.0077266899695416225,55.576392462612695,0.0386199951171875,real-state-ny,DAYS ON MARKET,30.497
KNeighborsRegressor,-0.29574415179367786,0.004718260216450276,55.660578509390284,0.14212918281555176,real-state-ny,DAYS ON MARKET,30.497
OrthogonalMatchingPursuit,-0.29631915663544484,0.004276589830745303,55.67292722506933,0.032998085021972656,real-state-ny,DAYS ON MARKET,30.497
