,Unnamed: 0,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
161,161,MLS Listing,,Condo/Co-op,,Queens,NY,11101,1300000,2.0,2.0,Hunters Point,1026.0,2500.0,1910.0,1,1267.0,835.0,Active,,,https://www.redfin.com/NY/Queens/Undisclosed-address-11101/home/183638990,REBNY,OLRS-00011926884,N,Y,40.7478785,-73.9444755
162,162,MLS Listing,,Condo/Co-op,,New York,NY,10036,1750000,1.0,1.0,Hells Kitchen,701.0,54647.0,2017.0,1,2496.0,1102.0,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10036/home/115300893,REBNY,OLRS-00011914890,N,Y,40.7593086,-73.9950519
163,163,MLS Listing,,Condo/Co-op,,Queens,NY,11101,2957393,2.0,2.0,Hunters Point,969.0,2500.0,1910.0,1,3052.0,789.0,Active,,,https://www.redfin.com/NY/Queens/Undisclosed-address-11101/home/175023732,REBNY,OLRS-00011934324,N,Y,40.7478709,-73.9444798
164,164,MLS Listing,,Multi-Family (2-4 Unit),1432 Minford Pl,Bronx,NY,10460,850000,6.0,4.0,BRONX,1886.0,2500.0,1920.0,1,451.0,,Active,,,https://www.redfin.com/NY/The-Bronx/1432-Minford-Pl-10460/home/44727066,OneKey,H6224413,N,Y,40.8332119,-73.8910985
165,165,MLS Listing,,Condo/Co-op,567 Ocean Ave Unit TH-2,Brooklyn,NY,11226,850000,1.0,1.5,Flatbush,,6600.0,2020.0,1,,990.0,Active,,,https://www.redfin.com/NY/Brooklyn/567-Ocean-Ave-11226/unit-TH2/home/172273712,REBNY,OLRS-00011966341,N,Y,40.6489701,-73.9603359
166,166,MLS Listing,,Condo/Co-op,,New York,NY,10036,2250000,2.0,1.5,Hells Kitchen,845.0,54647.0,2017.0,1,2663.0,1271.0,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10036/home/148049826,REBNY,OLRS-00011950430,N,Y,40.7590905,-73.9948511
167,167,MLS Listing,,Condo/Co-op,460 W 42nd St Ph -3G,New York,NY,10036,2250000,1.0,1.0,Hells Kitchen,782.0,54647.0,2017.0,1,2877.0,1306.0,Active,,,https://www.redfin.com/NY/New-York/460-W-42nd-St-10036/unit-3G/home/176875041,REBNY,OLRS-00011959989,N,Y,40.7590258,-73.9944819
168,168,MLS Listing,,Condo/Co-op,460 W 42nd St Ph -4M,New York,NY,10036,3250000,2.0,2.0,Hells Kitchen,1198.0,54647.0,2017.0,1,2713.0,1971.0,Active,,,https://www.redfin.com/NY/New-York/460-W-42nd-St-10036/unit-4M/home/177807192,REBNY,OLRS-00011881158,N,Y,40.7590258,-73.9944819
169,169,MLS Listing,,Condo/Co-op,,New York,NY,10036,3600000,2.0,2.0,Hells Kitchen,1198.0,54647.0,2017.0,1,3005.0,1856.0,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10036/home/175637476,REBNY,OLRS-00011897434,N,Y,40.7590258,-73.9944819
170,170,MLS Listing,,Condo/Co-op,,Brooklyn,NY,11226,400000,0.0,1.0,Flatbush,,6600.0,2020.0,1,,246.0,Active,,,https://www.redfin.com/NY/Brooklyn/Undisclosed-address-11226/home/175809504,REBNY,OLRS-00011948541,N,Y,40.6489701,-73.9603359
171,171,MLS Listing,,Condo/Co-op,,New York,NY,10036,2250000,1.0,2.0,Hells Kitchen,845.0,54647.0,2017.0,1,2663.0,1334.0,Active,,,https://www.redfin.com/NY/New-York/Undisclosed-address-10036/home/144771762,REBNY,OLRS-00011881009,N,Y,40.7593086,-73.9950519
172,172,MLS Listing,,Condo/Co-op,460 W 42nd St Ph -3B,New York,NY,10036,4350000,2.0,2.5,Hells Kitchen,1480.0,54647.0,2017.0,1,2939.0,2505.0,Active,,,https://www.redfin.com/NY/New-York/460-W-42nd-St-10036/unit-3B/home/177807187,REBNY,OLRS-00011887378,N,Y,40.7590258,-73.9944819
173,173,MLS Listing,,Condo/Co-op,460 W 42nd St Ph -1F,New York,NY,10036,3250000,1.0,2.0,Hells Kitchen,1064.0,54647.0,2017.0,1,3055.0,1755.0,Active,,,https://www.redfin.com/NY/New-York/460-W-42nd-St-10036/unit-1F/home/176876717,REBNY,OLRS-00011959993,N,Y,40.7590258,-73.9944819
