feature,importance
PROPERTY TYPE,149.0
BEDS,261.0
BATHS,186.0
STATUS,4.0
NEXT OPEN HOUSE START TIME,103.0
SOURCE,83.0
SQUARE FEET,347.0
LOT SIZE,401.0
YEAR BUILT,336.0
DAYS ON MARKET,49.0
$-SQUARE FEET,301.0
HOA-MONTH,261.0
