feature,importance
PROPERTY TYPE,173.0
BEDS,239.0
BATHS,128.0
STATUS,2.0
NEXT OPEN HOUSE START TIME,42.0
SOURCE,84.0
PRICE,474.0
SQUARE FEET,187.0
LOT SIZE,344.0
YEAR BUILT,258.0
$-SQUARE FEET,172.0
HOA-MONTH,274.0
